Name	Color	Rarity	#Seen	ALSA	#Picked	ATA	#GP	GPWR	#OH	OHWR	#GD	GDWR	#GIH	#GND	GNDWR	IWD
W	U	26791	4.60	4388	6.54	15138	57.2%	2637	57.1%	3503	55.3%	6140	56.0%	9001	58.0%	-2.0pp
R	U	32074	5.77	4422	8.40	9559	56.9%	1686	57.9%	2057	54.2%	3743	55.9%	5818	57.6%	-1.7pp
B	C	102151	6.76	15624	9.67	31381	55.7%	5000	52.5%	8113	58.0%	13113	55.9%	18274	55.5%	0.3pp
WUG	R	9253	4.43	1578	6.18	1320	52.0%	232	55.6%	357	56.0%	589	55.9%	735	49.0%	6.9pp
W	C	91500	5.39	15707	7.70	53165	57.0%	8849	54.8%	13286	56.4%	22135	55.8%	31037	57.8%	-2.0pp
UG	R	6621	3.41	1631	4.10	4786	53.4%	842	54.2%	1257	56.7%	2099	55.7%	2687	51.5%	4.1pp
W	C	71681	4.04	11681	5.76	47456	56.6%	7928	52.3%	11653	57.9%	19581	55.6%	27885	57.3%	-1.7pp
R	U	22505	3.37	5169	4.24	20704	56.5%	3345	54.1%	4839	56.6%	8184	55.6%	12522	57.1%	-1.5pp
B	C	101402	6.51	13190	9.64	23096	55.8%	3784	55.0%	5806	55.9%	9590	55.5%	13512	55.9%	-0.4pp
R	U	29952	4.84	5620	6.83	25459	56.7%	4462	57.6%	5710	53.9%	10172	55.5%	15289	57.4%	-1.9pp
W	U	31668	5.51	5140	7.95	15251	57.1%	2433	53.1%	3512	57.1%	5945	55.5%	9309	58.1%	-2.7pp
U	C	105755	7.47	12735	10.74	18642	54.1%	3161	53.7%	5074	56.6%	8235	55.5%	10411	53.0%	2.4pp
B	U	23009	3.87	4946	5.23	21354	55.9%	3759	53.5%	5241	56.9%	9000	55.5%	12360	56.2%	-0.8pp
WB	R	4078	2.11	1885	2.11	8050	55.3%	1297	54.4%	2074	56.1%	3371	55.5%	4679	55.2%	0.2pp
R	C	83013	4.74	14160	6.70	57326	56.1%	9957	56.1%	12698	55.0%	22655	55.4%	34681	56.6%	-1.1pp
R	R	5294	2.62	1347	2.98	5141	55.9%	906	53.3%	1142	57.1%	2048	55.4%	3093	56.2%	-0.8pp
U	R	6455	3.17	1583	3.77	5498	53.5%	936	51.3%	1509	58.0%	2445	55.4%	3054	52.0%	3.5pp
G	U	33682	6.13	4110	9.34	6503	56.2%	989	53.9%	1621	56.3%	2610	55.4%	3895	56.6%	-1.2pp
G	C	103776	6.83	12738	10.03	23226	55.7%	4045	54.6%	5821	55.9%	9866	55.4%	13364	55.9%	-0.5pp
B	R	4221	2.13	1815	2.14	7777	55.5%	1379	59.6%	1927	52.4%	3306	55.4%	4472	55.5%	-0.1pp
W	C	92032	5.69	12841	8.37	34286	56.9%	5969	55.6%	8505	55.2%	14474	55.4%	19816	58.1%	-2.7pp
B	M	2332	2.41	703	2.51	2341	54.2%	388	54.6%	557	55.8%	945	55.3%	1396	53.4%	2.0pp
R	C	108780	8.07	11792	11.77	7405	57.0%	1196	54.3%	1579	56.1%	2775	55.3%	4630	58.0%	-2.7pp
U	U	27516	5.01	3920	7.06	10197	53.5%	1678	51.3%	2788	57.6%	4466	55.2%	5733	52.2%	3.1pp
R	C	89175	5.27	15775	7.30	62612	56.9%	10887	55.7%	13428	54.7%	24315	55.1%	38310	58.0%	-2.8pp
B	C	91577	5.56	13104	8.20	40145	55.6%	7162	57.5%	9627	53.3%	16789	55.1%	23360	55.9%	-0.9pp
U	C	110323	8.55	12076	12.16	9191	53.9%	1641	52.9%	2385	56.5%	4026	55.0%	5169	53.0%	2.0pp
UR	U	22593	4.18	3851	5.48	12355	52.3%	2095	53.0%	3096	56.4%	5191	55.0%	7165	50.4%	4.7pp
U	C	107746	7.89	12130	11.40	12901	54.2%	2130	54.6%	3623	55.2%	5753	55.0%	7153	53.5%	1.5pp
W	C	98638	6.31	11996	9.61	16328	55.6%	2633	55.0%	4084	54.9%	6717	55.0%	9614	56.1%	-1.1pp
U	C	108285	8.00	14072	11.12	21195	54.5%	3714	54.1%	5447	55.5%	9161	55.0%	12039	54.1%	0.8pp
G	C	106993	7.66	12297	11.24	12142	55.3%	2047	52.6%	3025	56.5%	5072	54.9%	7073	55.6%	-0.7pp
U	C	109765	8.54	12178	12.15	8582	53.4%	1444	51.7%	2313	56.8%	3757	54.8%	4832	52.3%	2.5pp
A       C	107739	7.39	15576	10.41	25346	57.0%	4319	55.8%	5679	54.0%	9998	54.8%	15354	58.4%	-3.6pp
W	C	108809	7.63	14992	10.93	15829	57.3%	2509	54.2%	3642	55.2%	6151	54.8%	9679	59.0%	-4.2pp
G	U	35165	6.66	4214	10.03	5122	55.0%	818	54.3%	1280	55.0%	2098	54.7%	3024	55.2%	-0.5pp
